district_code,school_type,name,attendance_rate,attend_college,artcourse,avgclass_size,African.American,Asian,Hispanic,White,Native.American,pacific_islander,multi_race,Males,Females,nonbinary,grade9_passrate,expenditure,notnativespeaker,englishlearner,highneed,disability,econdisadv,teacher_retained,teacher_license,masscore_complete,sat_verbal,sat_math
790000,0,Dracut,95.1,86.2,76.38580931,20.6,7.5,7.7,11.9,70.8,0.3,0,1.9,52.1,47.8,0.2,81.8,11588.6,3.9,1.7,40.2,15.9,28.7,80.2,99.1,100,540,545
820000,0,Duxbury,95.9,88.2,90.89068826,19.7,0.5,1.3,2.5,91.9,0.1,0,3.8,51.4,48.6,0,97.9,14926.79,2.2,0.3,20.2,14.7,6.7,90.6,99.7,100,586,578
830000,0,East Bridgewater,94.9,77.6,87.59943847,20.4,4.4,0.8,3,88.4,0.5,0,2.9,52.2,47.8,0,83.1,12000.13,1.3,0.8,35.2,17.4,22.3,89.8,100,100,534,512
860000,0,Easthampton,94.9,67.8,81.69848585,18,1.2,3.3,14.3,77,0.3,0.1,3.8,51.5,48.2,0.3,84.2,14352.76,6.6,3.3,45.9,19.2,35.5,89.7,100,100,552,528
870000,0,East Longmeadow,95.3,82.6,73.48044909,18.3,3.4,6,9.7,77.6,0,0,3.2,52.2,47.8,0,91.7,14343.38,7.5,1.6,36.2,18.4,22.7,92,99.5,0.5,561,560
880000,0,Easton,95.9,84.9,79.34904602,18.9,7.1,3.3,6.5,78.9,0.3,0.1,3.8,51,49,0,97.2,13279.96,5.4,1.5,31.7,19.2,16.7,90.1,100,100,562,552
930000,0,Everett,93.4,58.1,81.77059967,20.7,14.9,5.4,59.2,18.4,0.3,0.1,1.6,50.9,49,0,69,13976.06,66.2,27.1,77.2,18.1,61.1,88.4,99.3,54.2,506,493
940000,0,Fairhaven,95.4,80.6,81.63265306,17.9,2.7,2.2,5.4,85.3,0.8,0,3.6,50.3,49.7,0,80.7,11909.11,3.9,1.4,42.4,16.6,33.1,94.7,100,93.8,540,562
950000,0,Fall River,92.5,48.8,83.75171602,18.4,9,3.5,29.7,48.8,0.1,0,8.9,50.9,49.1,0,52.4,14628.19,28.3,17.6,81,23,73.8,83.8,94.6,77.8,543,526
960000,0,Falmouth,94.5,82.6,91.34199134,16.9,5,1.8,7.5,78.1,0.9,0,6.7,51.9,48,0.2,77,18242.46,7.6,4,45.3,19.1,33.6,86.5,99,73.2,565,554
970000,0,Fitchburg,93.5,43.5,83.65876777,18.7,6.1,4.4,55.6,26.2,0,0,7.6,52.1,47.9,0,63.3,13488.33,37.4,15.7,75.6,24.2,66.4,86.3,97.9,54.7,465,460
990000,0,Foxborough,96,81.5,81.67266907,17.1,6.3,4.7,6.8,78.4,0.4,0.1,3.2,52.4,47.5,0,94.6,16640.27,4.7,2.4,34.9,20.2,18.3,93.5,100,58,566,579
1000000,0,Framingham,94.2,70.1,86.1196232,17.6,6.8,4.4,36.2,47.9,0.1,0.1,4.5,51,49,0,73.5,17820.67,48.4,26.2,63.8,21.7,44.9,85.1,96.2,76.2,563,588
1010000,0,Franklin,95.7,88.4,87.914877,17.2,2.1,6.2,4.7,84.2,0.1,0.7,2,51.8,48.1,0.1,94.9,13493.83,6.5,1.5,27.8,18.2,11.3,84.7,99.6,100,576,572
1030000,0,Gardner,93.8,73.2,82.12669683,18.5,3.2,2.4,23.2,63.5,0.2,0,7.6,52,47.9,0.1,56.5,13212.95,10,5,65.4,22.5,56.7,83.4,98.5,31.3,497,475
1050000,0,Georgetown,95.4,82.2,92.79141104,15.1,0.8,1.1,2.6,93.4,0,0.2,1.9,50.1,49.8,0.1,90.8,13764.43,1.5,0,25.5,17.2,11.1,91,99.1,100,580,570
1070000,0,Gloucester,94.1,53.3,88.0704276,16.9,1.6,1.3,12.7,80,0.2,0.4,3.8,52.3,47.7,0.1,66.7,16836.25,11.8,7.9,55.3,25.5,40.7,88.2,98.4,58,544,553
1100000,0,Grafton,95.1,86,85.93192869,19.7,2,12.4,5.8,76.8,0.2,0.1,2.8,52,48,0,92.2,12321.71,3.8,2,31.3,20.1,15,90.6,99.5,79.6,570,574
1110000,0,Granby,96.5,66.7,75.88652482,14.7,0.1,1.3,10.8,83.7,0.3,0,3.9,54.1,45.8,0.1,88.1,13445.12,7.8,5.4,43.6,19,32.5,96.8,100,100,528,543
1140000,0,Greenfield,93.3,60.5,90.69197795,15.7,2.9,1.4,20.3,70.1,0.2,0,5.2,52.6,47.4,0,64,15202.42,8.8,5.2,62.1,19.5,55.2,78.4,97.9,70.4,541,557
1170000,0,Hadley,94.9,74,84.54011742,15.5,3.2,4.2,10.3,76.9,0.4,2.4,2.8,52.8,47.2,0,89.2,15727.54,6.1,4,32.9,13.5,23.1,84,100,100,584,595
1220000,0,Hanover,95.5,89.2,84.53807499,19,1.2,2.2,2.4,93.5,0,0,0.7,51.5,48.5,0,95.9,14005.77,3.4,1,25.9,18.4,9.3,92.2,99.7,100,568,561
1250000,0,Harvard,95.9,85.7,82.61682243,16.3,2.4,12,4.4,76.5,0,0,4.7,50,49.9,0.1,100,16766.22,5.4,0.6,18.8,11.1,8.2,95.6,100,100,628,626
1270000,0,Hatfield,95.6,82.1,91.44893112,14.1,0.8,1,4.3,91.9,0,0,2,51.6,47.9,0.5,95.5,14400.23,1,0.3,31.8,21,14.9,86.7,96.6,100,616,582
1280000,0,Haverhill,93.6,63.1,86.77696388,18.3,5.3,1.8,40.1,50.3,0.2,0.1,2.1,52.2,47.8,0,46.7,13283.75,16.9,9.6,64.9,23.3,53.6,85.4,98.7,49.9,542,539
1310000,0,Hingham,95.9,85.8,76.55913978,18.3,1.9,2.8,3.7,88.1,0.1,0,3.4,50.9,49.1,0.1,91.9,13215.56,1.8,0.3,18.4,13.6,6.4,94.5,99.7,100,597,583
1330000,0,Holbrook,95.9,77.8,83.42810723,18.4,21.5,5.6,14.7,50.4,0.3,0,7.5,52.8,47.2,0.1,87.7,14006.99,20.1,5.4,51,19.2,34.2,92.6,98.9,100,513,499
1360000,0,Holliston,95.8,88.5,92.03855766,16.5,1.2,9.4,5,81,0.4,0.2,2.8,52,48,0,82.1,12979.62,11.5,2.5,25.3,16.7,8.4,91.3,99.4,97.7,585,588
1370000,0,Holyoke,92.3,54.3,73.06914679,17.2,3.3,0.6,80.9,13.8,0,0,1.3,53,46.9,0,60.9,17144.91,38.9,20.2,86.1,27.9,81.4,69.7,85.5,44.7,490,464
1380000,0,Hopedale,96.2,76,91.90809191,15.4,1.3,1.8,9.7,82.2,0.2,0.2,4.6,52.1,47.9,0,91.4,13920.34,8.1,3.7,32.7,20.9,17.1,89.5,100,100,574,556
1390000,0,Hopkinton,95.9,88.3,86.34252936,19.9,0.8,23.6,4.1,67,0.3,0,4.2,50.8,49.2,0,97.2,14537.39,16.4,6.7,26,12.1,6.4,89.2,99.4,92.2,596,623
1410000,0,Hudson,94.9,74.4,86.92247455,18.7,2.1,1.7,15.3,77.8,0.2,0,2.9,48.7,51.2,0,79,15966.66,27.5,12.8,45.9,17.6,28.8,92.2,97.8,97.7,546,545
1420000,0,Hull,94.2,67.6,79.25211098,13.3,1.7,1.7,3.5,90.3,0.1,0,2.6,53.5,46.4,0.1,85.5,20530.02,1.9,1.2,45.5,21.2,32.9,95.3,100,100,550,564
1440000,0,Ipswich,96.1,76.9,93.00118624,16.9,1.1,1.3,7.1,86.5,0.1,0,3.9,48.9,50.9,0.1,97.2,16751.59,5.5,2.3,30,18,16.5,89.6,100,100,586,573
1490000,0,Lawrence,93.4,53.5,79.29073769,19.7,1.2,1.2,93.9,3.3,0,0,0.4,52.5,47.3,0.2,40,14591.77,72.3,34.5,89,19.5,78.5,86.7,93.5,100,469,477
1500000,0,Lee,94.9,64.3,83.55359765,13.5,0.9,2.8,8.6,83.9,0.3,0,3.5,51,48.9,0.1,81.3,18749.03,7.5,4.2,47.2,15.5,38.2,90.4,100,71.4,541,540
1510000,0,Leicester,95.2,80.6,79.49419002,17.9,5.2,3.2,12.9,75.5,0.1,0,3.1,53.3,46.5,0.1,86.4,13077.64,9,3.6,42.9,18.1,30.1,86.6,98.1,100,551,519
1520000,0,Lenox,95.3,83.7,84.06593407,13.6,0.4,4.9,9.5,80.1,0,0.1,4.9,49.3,50.7,0,98.5,19810.83,8.1,2.7,27.4,9.2,18.3,92.7,100,95.9,605,601
1530000,0,Leominster,95,60.6,86.49006623,19.5,8.4,3.5,38.6,45.1,0.1,0,4.4,51,48.9,0.1,77.7,13268.16,28.3,11.8,61,23.8,46.6,90,98.4,100,527,534
1550000,0,Lexington,96.6,81.7,94.90708878,19.5,3.9,41.8,4.8,42.2,0.1,0,7.3,50.8,49.1,0,96.4,17759.67,33.4,8.1,30.6,14,6.7,90,99.8,100,645,684
1580000,0,Littleton,95.8,85.2,89.13455464,18.4,1,12,3,81.5,0.2,0.2,2.3,49.5,50.5,0.1,92.2,14081.17,7.1,1.7,24.2,14.9,8.7,86.4,100,100,626,620
1590000,0,Longmeadow,95.8,87.1,81.74743544,19.1,2.6,10.2,5.8,76.8,0,0.1,4.4,51.5,48.5,0,97.2,14496.22,6.5,0.4,26.4,18.1,10.4,93.2,100,58.1,582,590
1600000,0,Lowell,94,70.4,83.3122807,19.8,7.9,28.2,35,24.8,0,0,4.1,52.2,47.8,0,53.2,14276.91,33.9,24,76.9,18.3,63.3,93.2,97.5,39.6,522,533
1610000,0,Ludlow,95.3,77.4,77.30723132,16.7,1.9,0.7,12.1,81.5,0,0.2,3.6,50.8,49.1,0.1,74,15867.01,9.1,3.7,42.2,17.1,31.7,92.7,99.6,43.2,547,561
1620000,0,Lunenburg,95.7,81.6,85.98884067,20.3,1.9,1.5,9.3,83.6,0.3,0.6,2.8,51.5,48.3,0.2,93.7,13684.14,4.1,1.1,32.1,16.3,20.7,87.4,100,100,562,570
1630000,0,Lynn,94.3,54.3,78.89350815,20.1,8.2,7.6,67.6,13.1,0.3,0,3.2,52.6,47.3,0.1,72,13719.79,61.3,31.5,79.5,17.7,65.1,88.5,95.6,26.2,504,501
1640000,0,Lynnfield,96.4,89.2,82.64692272,17.9,1.9,7,5.8,82,0,0,3.2,49.7,50.2,0,96.5,15172.89,8.3,2.4,26.4,17.3,9.4,89.5,99.4,98.8,563,566
1650000,0,Malden,94.2,69.1,77.36148595,20.5,18.7,23.5,26.1,27.5,0.2,0,4,51.9,48,0,64.5,14023.21,56.8,18.6,69.8,17.6,51.9,87.4,99.8,43.1,511,549
1670000,0,Mansfield,95.6,86.9,86.01360544,17.9,4.5,7.4,5.9,77.9,0.1,0,4.3,51.9,48.1,0,94.5,15675.58,6.8,1.7,29.3,15.8,16.9,91.5,100,100,581,589
1680000,0,Marblehead,95.7,88.2,81.48514851,16.7,2.9,1.4,6.8,85.4,0,0,3.4,51.7,48.3,0.1,90.8,15778.28,7.8,4.4,32.1,22.5,11.3,90.5,100,99.2,593,592
1700000,0,Marlborough,94.2,57.4,90.13157895,19.8,3.7,3,51.6,39.2,0.1,0,2.4,52.5,47.5,0,67.5,16311.39,52.1,23.9,66.3,17.3,45.4,91.3,99.7,100,522,518
1710000,0,Marshfield,95.9,83.8,79.15077549,18.3,0.5,1.1,3.4,92.8,0.1,0.2,1.9,51.9,48.1,0,91.2,13185.71,3.2,1.2,29.2,18.9,14.1,93.8,100,100,562,563
1720000,0,Mashpee,94.7,77.1,77.86509496,15.8,4.9,2,5.7,72.3,5.7,0.1,9.3,51.1,48.9,0,88.5,17304.76,9.2,4.5,45,15.4,35.1,89.6,99.3,100,541,529
1740000,0,Maynard,93.8,83.5,83.59375,17.2,1.6,1.8,14.1,77.6,0.3,0,4.7,51.2,48.6,0.2,75.3,16227.67,10.9,5.1,36,19.3,20.1,85.5,95.5,100,565,542
1750000,0,Medfield,96.4,89.4,89.51076321,17.7,1.2,4.2,3.5,86.9,0.3,0,3.8,50.9,49.1,0,97.5,15262.24,3.2,0.8,18,12.4,6.3,86.6,99,99.5,605,616
1760000,0,Medford,95.1,68.9,82.36151603,15.3,11.9,9.5,13.6,59.3,0.5,0.1,5.1,52.2,47.8,0,83.6,17632.46,26.8,10.4,50.4,19.5,34.2,90.4,98.8,99.4,548,543
1770000,0,Medway,96.5,90.5,84.56932289,17.8,1.7,3.1,5.6,86.6,0.2,0.1,2.6,49.5,50.5,0,94.4,13984.88,2.4,1.5,25.8,17,11.1,85.7,100,96.1,568,575
1780000,0,Melrose,96,90.2,86.12400983,20.1,6,6.1,5.4,76.9,0.1,0,5.5,49.6,50.4,0,95.5,11816.23,13.7,5.4,29.6,16.7,12.8,88.1,100,100,577,557
1810000,0,Methuen,94.4,68.3,85.4199913,20.3,3.8,3.7,44.9,43.6,0,0,3.9,52.9,47,0,79.6,12843.27,27.5,10.7,56.3,19.6,41.9,86.1,98.1,60.4,517,520
1820000,0,Middleborough,94.5,66.7,90.77819678,20,2.6,1.1,2.9,87.8,0.6,0,5,51,49,0,86.7,14251.87,2.5,1.4,43.5,19.1,32.8,90.3,99.5,100,572,553
1850000,0,Milford,94.3,68.3,87.90455941,18.8,3.2,1.4,31,59.6,1.4,0,3.3,52.9,47,0,77.7,14254.81,40.4,22.2,60.3,17.1,46,91.5,98.8,99.6,554,547
1860000,0,Millbury,95.6,63.7,81.65644172,18.1,3.7,3.5,8.2,78.8,0,0.1,5.7,52.2,47.6,0.2,81.3,15745.42,8.9,4.6,44.5,19.1,29.3,90.2,100,100,539,545
1870000,0,Millis,95.8,86.5,71.8537415,16.6,1.1,2.3,8.4,83.7,0.3,0.2,4,50.8,49.1,0.1,93.5,14216.08,5.1,2.2,26.3,13.7,14.2,89.3,99.7,100,555,533
1890000,0,Milton,96.4,87.9,87.01424089,19.5,13.1,7.5,5,68.8,0.1,0.1,5.4,49.3,50.7,0,93,14329.29,9.6,2.1,26.4,16,11.4,89.5,99.7,100,567,579
1910000,0,Monson,94.9,80.6,83.19719953,15.5,1.3,1.3,5,89.5,0.1,0.2,2.6,48.1,51.7,0.2,88.4,16422.21,2.1,0.5,43.6,19.5,33.1,84.3,100,88.1,533,513
1970000,0,Nantucket,94.8,69.8,89.91442543,18.1,9.4,1.4,36.1,48.5,0.1,0,4.4,51.8,48.2,0,86.7,21938.28,40,16.3,51.9,16,28.9,85.1,95.1,94.6,549,526
1980000,0,Natick,95.9,82,87.26161822,18.7,2.7,10.7,6.7,74.3,0.1,0,5.6,51.9,48.1,0.1,92.5,15366.53,10.6,3,25.5,14.8,10.7,89.9,99.2,94.1,590,597
1990000,0,Needham,96.1,88.7,83.07065699,18.9,3.2,10.2,6.1,74.8,0.1,0.1,5.5,50.2,49.7,0.1,99.1,17212.86,10.4,3.2,25.5,17.4,6.4,90.5,99.8,100,608,619
2010000,0,New Bedford,93.8,42,90.7923256,18.4,13.5,0.8,41.7,38.2,0.4,0.1,5.3,52.4,47.6,0,54.8,13969.58,42.1,26.3,84.1,22.2,74,84.9,94.9,100,494,475
2040000,0,Newburyport,95.6,78.3,86.83847216,17.5,0.9,1.9,4.1,90.7,0,0,2.4,49.8,50.1,0,93.3,16164.89,5.9,2.2,27.9,19.3,11.5,96.4,99.7,100,576,585
2070000,0,Newton,95.5,81.8,85.14458214,18,4.6,20,8.2,59.3,0.1,0.1,7.7,50.9,49,0.1,96,18458.2,26.8,5.4,33,18.3,10.4,92,98.7,90.5,622,642
2090000,0,North Adams,93.7,51.3,85.2484472,15.8,2.5,0.6,7.3,80.5,0.2,0.2,8.7,50.9,49.1,0,83.6,16761.56,1.2,0.9,72.3,25.7,66.6,82.5,93.8,85,533,493
2100000,0,Northampton,94.6,77.5,78.03177063,16.5,3.1,3.1,16.1,70.4,0.2,0,7.1,50.9,48.6,0.5,95.3,14505.06,9.3,4.3,39,20.6,27.4,87.5,98.5,0,608,602
2110000,0,North Andover,96,87.9,82.82393457,20.8,2.9,7.7,12.9,73,0.1,0,3.4,51.5,48.5,0,86.4,12121.81,11.2,2,32.8,17.4,18.6,88.5,99.2,100,572,575
2120000,0,North Attleborough,95.1,87.2,88.88888889,18,4.6,7.5,5.2,78.3,0.2,0.1,4,51,48.9,0.1,91.2,12360.22,9.8,3.9,35.1,18.5,20.6,85.5,99.6,96,571,567
2140000,0,Northbridge,95.2,73.8,89.65,18.2,0.9,0.8,8.8,84.3,0.1,0.1,5,51.3,48.7,0,72.5,14062.08,4.7,2.5,45.4,18.4,33.9,88.8,100,100,537,517
2150000,0,North Brookfield,95.4,54.3,84.7706422,15.9,1,0.6,6.8,87.7,0,0,4,52.1,47.9,0,78.4,14859.41,1.4,1,49.5,23.9,35.4,80.9,100,100,553,511
2170000,0,North Reading,96.4,83.4,79.57356077,18.4,0.6,4.5,4.1,87.4,0.1,0.1,3.2,51.5,48.5,0,98.9,15032.88,1.3,0.5,25,18.1,9.5,90.6,100,100,562,557
2180000,0,Norton,95,78.1,80.25531915,19.1,2.1,2,4,88,0.2,0,3.7,49.4,50.6,0,87.7,14041.27,2.6,1.9,37.5,21.8,22.3,91.2,100,98.9,550,549
2190000,0,Norwell,95.5,90.1,88.54503464,17.5,0.5,2.1,1.5,92.3,0,0.1,3.5,52,48,0,99.4,15367.54,1.4,0.2,18.8,15.8,4.4,95.9,100,100,602,585
2200000,0,Norwood,94.8,74.7,80.25686977,17.2,10.2,8.6,16.3,61.5,0,0.6,2.7,50,50,0,86.5,15849.55,27,12.8,49.9,21.8,29.4,94,100,56.5,546,567
2260000,0,Oxford,94.3,60,89.0205864,21,1.8,1,11.8,80.7,0.1,0.1,4.4,50.1,49.9,0.1,56.7,13192.41,1,0.3,45.6,17.4,36.7,84.4,98.3,55.6,523,506
2270000,0,Palmer,94.4,66.3,89.32112891,15.1,3.3,2.6,12.8,76.5,0.1,0,4.7,51.1,48.8,0.1,85.3,14581.61,5.6,4,58.5,18.3,50.8,85.3,99.2,69.3,546,515
2290000,0,Peabody,94.3,71.4,84.06896552,18.7,3.9,2,18.7,73,0.2,0,2.2,50.4,49.6,0,77.5,14213.96,15.1,9.3,52.1,19.9,37.4,91.4,99.3,77.3,518,526
2310000,0,Pembroke,95.1,75.6,87.86656891,18.4,0.5,0.9,1.7,94.3,0.1,0,2.4,52.2,47.7,0.1,95.7,13558.81,1.9,1.4,27.3,15.2,14.9,87.8,99.5,99.6,553,558
2360000,0,Pittsfield,91.9,70.9,76.70713202,14.9,11.6,1.3,16.4,60.6,0.3,0,9.7,51.4,48.6,0,76.9,15844.58,8.6,4.9,66.4,22.2,58.6,81.6,91.2,74,542,525
2390000,0,Plymouth,95.5,68.3,84.04343046,16.9,2.2,1,6.6,85.1,0.2,0,4.8,52.2,47.8,0,84.2,17114.05,5,2.8,40,20,27,88.6,98.4,65,546,543
2430000,0,Quincy,95.6,75,77.71874661,16.2,6.9,40.9,8.4,39.6,0.2,0.3,3.7,52,48,0,84.2,15478.45,44.7,15.7,61.4,19.7,39,93.5,99.6,60.7,542,563
2440000,0,Randolph,94.6,68.5,85.05325009,18.5,49.4,17.6,16.2,11.8,0.3,0.1,4.6,53.5,46.4,0,55.8,17612.67,37.1,16.1,71.8,22.3,54,83.5,99.2,94.4,510,513
2460000,0,Reading,96.3,87.3,86.34146341,19.2,2.5,5.3,3.3,86.2,0.1,0,2.5,52.1,47.8,0.1,97.3,13192.82,2.5,1.1,24.6,17.8,8.9,88.1,99.7,85.2,572,582
2480000,0,Revere,94.8,66.4,75.63410685,20.2,3.5,4.4,57.7,32.2,0.3,0,1.8,50.9,49.1,0,53.3,13221.51,68.6,22.9,72.9,17,56.1,88,98.6,100,534,544
2510000,0,Rockland,95,75.4,79.12730544,18.6,6.3,1.3,17.3,70.5,0,0,4.6,51.6,48.4,0,70.9,15568.04,14.6,8,52.3,18.6,41.4,88.1,100,100,531,530
2520000,0,Rockport,90.3,74.7,90.75342466,14.1,0.7,1.8,3.7,90.7,0,0,3.1,52.5,47.5,0,90.2,18375.13,1.3,0.7,37.5,22,20.7,91.3,98.9,100,571,550
2580000,0,Salem,92.2,62.1,83.63587104,16.2,6.7,2.7,43.5,42.6,0,0,4.5,51.7,48.2,0,49.6,19506.3,32.2,13.7,67.4,22.9,55,78,97.3,100,546,533
2610000,0,Sandwich,95.5,78.9,87.37353298,18.1,1.2,2.5,3.3,91.2,0.6,0.2,1,49.4,50.6,0.1,86.3,16950.2,2,0.9,34.1,19.4,20,86.3,98.4,99.4,559,546
2620000,0,Saugus,94.5,79.2,81.08108108,17.1,5.3,5.2,20.6,65.2,0.8,0.3,2.6,52.1,47.8,0,84.2,15670.66,20.6,6.3,51.7,18.6,36.8,85.1,99.5,86.8,517,515
2640000,0,Scituate,95.2,88.6,88.76061121,19.6,2.6,0.6,2.2,92.2,0.1,0,2.2,50.3,49.7,0,96.9,15020.97,2.3,0.4,23.2,14.5,11.1,90.9,99.6,92.9,588,573
2650000,0,Seekonk,96.1,81.5,88.35952849,17.5,2.4,3.4,6.1,84,0,0,4,50,49.8,0.2,88.3,15346.92,7.5,2.7,30.7,16.8,15.3,91.5,99.9,95.5,573,564
2660000,0,Sharon,95.7,86.8,75.73033708,18.6,4.9,30.1,5.9,52.8,0.1,0.1,6.2,51,48.9,0.1,95.8,16030.5,26.7,3.1,26.9,14.4,9.8,89.1,99.4,68.6,635,652
2710000,0,Shrewsbury,94.8,90,81.46104982,20.5,3.3,33.4,9.2,49.4,0.5,0,4.3,49.6,50.3,0,92.7,12937.73,36.1,2.7,29.9,14.3,13.6,91,99.3,99.8,583,604
2740000,0,Somerville,94.1,65,89.8250162,15.6,8.6,6.1,40.8,39.7,0.1,0.1,4.6,52.3,47.6,0.2,77.1,19236.25,48.2,18.3,59.8,19.5,44.7,88.8,98.3,60.7,526,525
2770000,0,Southbridge,89.7,43.6,93.54177345,18.3,1.5,1.3,62.8,32.2,0.2,0.1,2,51.9,48.1,0,45.5,16626.73,35.3,19.8,84.8,21.4,77.2,66.7,94.1,99,436,433
2780000,0,South Hadley,93.7,76.4,62.20644457,15.6,1.8,2,15.6,77.5,0.1,0,3.1,49.3,50.7,0.1,95,13857.14,7.7,4.3,42.9,20.6,29.7,89.7,100,78,564,577
2810000,0,Springfield,93,50.4,71.99424046,17.2,18.6,2.1,67.9,9.1,0.2,0,2.1,52,47.9,0,44.4,15865.14,29.8,16.3,86.5,24.7,81.8,86.5,93.5,98.8,493,487
2840000,0,Stoneham,95.1,81.1,90.17316017,17.6,2.2,5.8,9.6,78,0.3,0,4,50.7,49.2,0,90.3,15829.51,12.5,3.5,36,20.3,19.3,85.7,100,100,563,559
2850000,0,Stoughton,95.2,81.3,90.9643788,17.2,24.7,6.1,14.4,48.7,0.1,0.3,5.6,51.9,48.1,0,70.6,14909.86,18.4,7.3,51,17,38.5,91.8,100,100,536,520
2900000,0,Sutton,96.1,91,89.01098901,20.1,1.2,1.5,4,89.6,0,0.1,3.7,50.7,49.3,0,97,13542.49,2.9,2,30.1,18.1,15.2,92.4,99.8,95,552,543
2910000,0,Swampscott,95.3,92.3,85.97056118,17.3,3.9,2.6,12.1,78.2,0.2,0,3,50.9,49.1,0,92.2,15940.12,15.4,6.1,35.9,17.5,18.6,91.6,100,100,571,581
2920000,0,Swansea,94.9,75.4,88.93280632,17.9,0.9,1.2,2.5,93.6,0.2,0,1.6,51.5,48.5,0,85.9,13474.61,1.9,0.4,31.1,12.8,23,89.3,99.8,100,553,534
2930000,0,Taunton,94.1,64,78.90435449,19.9,19.2,1.1,13.5,60.2,0.3,0.2,5.6,50.7,49.3,0,72.1,13381.44,11.4,5.6,59.7,19.9,50.6,93.3,99.6,78.2,551,530
2950000,0,Tewksbury,96.3,82.6,86.5969874,19.9,3.8,4.1,6.3,83.8,0.1,0.1,1.8,49.5,50.5,0,87.1,16111.39,6.6,1.8,33.3,18.1,17.8,94.7,100,100,561,565
3010000,0,Tyngsborough,94.8,87.7,82.71759549,18,4.5,8.6,7,76.1,0.3,0,3.5,50.9,49.1,0,92.2,14534.57,9.4,4.2,34.8,18,18.6,93,100,100,550,568
3040000,0,Uxbridge,94.9,77.1,83.38386901,17.7,1.2,1.3,6.5,88.2,0.5,0.1,2.2,54.1,45.9,0,83.3,15070.66,5,2.2,37.1,17.6,25.1,87.2,100,86.8,547,546
3050000,0,Wakefield,95.5,82.3,89.72296693,18.3,2.8,3.6,7.7,82.5,0.2,0.2,3.1,50.9,49.1,0,90.5,14543.04,6.1,2.4,28.6,16.5,13.8,89.8,100,100,554,551
3070000,0,Walpole,95.5,87.4,86.85483871,19.2,3.5,6.6,6.4,79.8,0.3,0.1,3.3,50.1,49.9,0,90.4,14918.95,10.6,3.5,27,14,13.1,89.9,100,3.1,562,547
3080000,0,Waltham,94.6,67.4,86.50851141,16,9.2,5.3,42.6,40.4,0.1,0,2.5,52.4,47.6,0,76.7,20837.74,51.3,22.6,57.7,16.3,40.7,86.3,99.6,95.4,539,542
3090000,0,Ware,94.6,61.2,84.72596586,19.2,1.5,0.4,7.8,86.1,0.2,0.3,3.7,51.1,48.9,0,57,14647.98,2.5,1.4,63.8,22.1,57.4,85.1,99.5,100,517,533
3100000,0,Wareham,94.4,48,87.69379845,15,7.4,0.9,9,68.6,1.3,0.1,12.7,48.9,51.1,0.1,58,17114.52,2.7,1.4,65,25,57.5,94.3,99.3,99.2,508,498
3140000,0,Watertown,94.8,74,82.94420261,16.8,4.3,7.2,19.1,63.6,0.4,0,5.3,51.7,48.3,0,80.1,20086.46,39.1,14.2,50.4,19.8,32.6,84.4,98.9,70.8,567,583
3150000,0,Wayland,97,92.3,83.83763838,17.3,5,15.4,5,68,0,0.1,6.5,49.7,50.3,0,98.5,18107.1,13.1,3.5,26.7,17.9,6.6,92.5,99.8,82.6,636,661
3160000,0,Webster,93.3,53.7,86.02981778,18.2,6.1,1.7,32.6,52.9,0.1,0.1,6.6,52.1,47.8,0.1,65.1,14724.12,16.2,10.8,71.4,22.8,62.4,85.1,99.3,75,530,526
3170000,0,Wellesley,95.9,83.9,87.43056984,17.6,3.8,15.5,5.4,67.9,0,0,7.3,49.2,50.8,0,97.5,19100.61,8,1.9,25.4,17.1,6.9,88.5,99.6,100,617,628
3210000,0,Westborough,95.5,89.9,81.78747727,17.2,2.1,35.2,8.3,51.1,0.1,0.1,3.2,50.4,49.6,0.1,95.9,14926.9,31.6,11.4,37.6,16,12.5,90,99.1,99.6,604,619
3220000,0,West Boylston,95.3,77.4,90.8045977,15.5,3.7,2,11.5,78.3,0.1,0.2,4.2,49.4,50.6,0,72.7,15594.01,7.3,4.2,38.4,17.8,24.9,87.2,100,100,545,526
3230000,0,West Bridgewater,95.8,79.2,92.64931087,19.3,6.3,1,5.2,82.3,0.1,0.1,4.9,49.6,50.4,0,91.5,13238.6,2.5,1.5,27.8,10.6,19.4,91.6,100,100,548,540
3250000,0,Westfield,94,63.9,72.24268269,17,2.3,3.2,17.4,73.6,0.1,0,3.5,52,48,0,76.5,14038.16,12.3,5.1,52.9,20.4,42.3,89.5,97.4,76.4,539,523
3260000,0,Westford,96.4,91,85.44138347,18.2,1.3,29.1,2.5,62.8,0.1,0,4.1,49.9,50.1,0,99,14004.14,12.7,1.7,24,15.5,7.3,90.5,99.7,100,622,641
3300000,0,Weston,96.9,88.7,92.41614001,15.9,6.7,17.4,6.3,64.1,0.1,0.1,5.4,50.9,49.1,0,98.2,24506.71,9.1,4.2,25.9,17,6.1,91.4,99,100,628,647
3310000,0,Westport,94.5,74,86.73395818,16.5,0.5,0.4,4.1,91.1,0.1,0,3.8,53.1,46.9,0.1,67.4,15219.43,2.4,1.3,39.9,18.6,27.5,88.3,100,83.3,581,529
3320000,0,West Springfield,94.8,72.3,88.19271093,17.3,3.6,8.8,21.2,62.9,0.1,0,3.4,51.3,48.7,0,65.4,13065.86,30.1,9.9,59.9,18.5,50.6,90.9,99.7,63.7,548,556
